# name, tgt sunk, tgt tons, subsDmgd, subsSunk, subsSpotted, subsRTB, subsPromoted
U-536(5-3-3),2,10,0,0,0,0,0
U-537(5-3-3),1,6,0,0,0,0,0
U-538(5-3-3),1,5,0,0,0,0,0
U-539(5-3-3),1,2,0,0,0,0,0
U-540(5-3-3),3,12,0,0,0,0,0
U-541(5-3-3),2,11,0,0,0,0,0
U-542(5-3-3),1,4,0,0,0,0,0
U-543(5-3-3),2,6,0,0,0,0,0
U-544(5-3-3),3,7,0,0,0,0,0
U-545(5-3-3),0,0,0,0,0,0,0
U-546(5-3-3),0,0,0,0,1,0,0
U-547(5-3-3),1,5,0,0,0,0,0
U-548(5-3-3),2,10,0,0,0,0,0
U-549(5-3-3),3,7,0,0,0,0,0
U-550(5-3-3),0,0,0,0,0,0,0
U-551(5-3-3),0,0,1,0,0,0,0
U-552(5-3-3),1,12,0,0,0,0,0
U-553(5-3-3),4,14,0,0,0,0,0
U-554(5-3-3),3,8,0,0,0,0,0
U-555(5-3-3),0,0,0,0,0,0,0
U-556(5-3-3),3,14,0,0,0,0,0
U-557(5-3-3),0,0,1,0,0,0,0
U-558(5-3-3),1,2,0,0,0,0,0
U-559(5-3-3),1,5,1,0,0,0,0
U-560(5-3-3),1,2,0,0,0,0,0
U-561(5-3-3),2,10,0,0,0,0,0
U-562(5-3-3),4,10,0,0,0,0,0
U-563(5-3-3),2,22,0,0,0,0,0
U-564(5-3-3),0,0,0,0,0,0,0
U-565(5-3-3),2,16,0,0,0,0,0
U-566(5-3-3),1,5,0,0,0,0,0
U-567(5-3-3),2,9,0,0,0,0,0
U-568(5-3-3),3,10,0,0,0,0,0
U-569(5-3-3),1,2,1,0,0,1,1
U-570(5-3-3),1,1,0,0,0,0,0
U-571(5-3-3),1,2,0,0,0,0,0
U-572(5-3-3),1,3,0,1,0,0,0
